식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
"게류_붉은대게_암컷,전체_생것_대표_4월",81,8.92,4.23,0.85
"게류_붉은대게_암컷,전체_생것_대표_5월",95,8.53,4.3,4.6
"게류_붉은대게_암컷,전체_생것_대표_6월",66,11.23,2.03,0.0
"게류_붉은대게_암컷,전체_생것_대표_7월",92,10.52,5.05,0.0
"게류_붉은대게_암컷,전체_생것_대표_9월",68,10.59,2.43,0.12
게류_붉은대게_육_생것_대표_8월,66,10.88,2.14,0.05
게류_붉은대게_육_생것_대표_평균,48,10.5,0.3,0.3
게류_왕게_육_삶은것_대표_평균,85,17.5,1.5,0.3
게류_왕게_육_생것_포항_평균,67,13.7,0.7,0.6
게류_주름송편게_육_생것_여수_6월,87,18.78,0.3,1.12
게류_참게_육_생것_대표_4월,79,11.13,1.53,4.22
게류_참게_육_생것_부산_6월,175,14.4,12.0,0.2
게르치류_게르치_육_삶은것_수입_평균,179,22.2,8.4,
게르치류_게르치_육_생것_부산_6월,158,20.8,7.5,0.0
게르치류_반딧불게르치_전체_생것_동해EEZ_2월,104,19.56,2.32,0.0
게르치류_반딧불게르치_전체_생것_여수_4월,111,18.91,3.04,0.7
고둥류_갈색고리돼지고둥_육_생것_부산_5월,92,16.08,0.7,4.32
고둥류_갈색띠매물고둥_내장_생것_포항_평균,195,22.23,7.65,7.08
고둥류_갈색띠매물고둥_육_구운것_포항_평균,135,26.69,0.66,3.96
고둥류_갈색띠매물고둥_육_생것_부산_5월,78,15.1,0.2,3.01
고둥류_갈색띠매물고둥_육_생것_포항_평균,98,16.9,0.48,5.3
고둥류_갈색띠매물고둥_전체_생것_포항_평균,146,20.06,4.89,3.8
고둥류_관절매물고둥(보라골뱅이)_육_생것_포항_평균,104,17.7,1.1,4.5
고둥류_긴고둥(긴뿔고둥)_내장_생것_삼천포_3월,191,21.21,7.7,7.05
고둥류_긴고둥(긴뿔고둥)_육_생것_부산_7월,118,17.2,2.7,4.8
고둥류_긴고둥(긴뿔고둥)_육_생것_삼천포_3월,115,18.7,0.46,7.72
고둥류_나팔고둥_육_생것_부산_4월,111,15.9,3.0,3.9
고둥류_두드럭고둥_육_생것_부산_5월,89,14.17,0.7,5.53
고둥류_매끈이고둥_육_생것_여수_6월,108,22.5,0.4,2.28
고둥류_매끈이고둥_육_생것_포항_3월,164,24.31,4.69,4.29
고둥류_명주매물고둥_내장_생것_포항_평균,200,18.5,11.18,4.1
고둥류_명주매물고둥_육_구운것_포항_평균,132,22.65,0.64,7.42
고둥류_명주매물고둥_육_생것_포항_평균,100,16.02,0.64,6.44
고둥류_명주매물고둥_육_찐것_포항_평균,124,21.5,0.63,6.65
